title,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"Living Dead in Dallas (Sookie Stackhouse, #2)","Living Dead in Dallas (Sookie Stackhouse, #2)","Club Dead (Sookie Stackhouse, #3)","Dead to the World (Sookie Stackhouse, #4)","Dead as a Doornail (Sookie Stackhouse, #5)","Definitely Dead (Sookie Stackhouse, #6)","All Together Dead (Sookie Stackhouse, #7)","Dead Until Dark (Sookie Stackhouse, #1)","From Dead to Worse (Sookie Stackhouse, #8)","Dead and Gone (Sookie Stackhouse, #9)","Dead in the Family (Sookie Stackhouse, #10)","Dead Reckoning (Sookie Stackhouse, #11)","Deadlocked (Sookie Stackhouse, #12)","Dead Ever After (Sookie Stackhouse, #13)","Grave Sight (Harper Connelly, #1)","Moon Called (Mercy Thompson, #1)"
"Lock In (Lock In, #1)","Lock In (Lock In, #1)",Redshirts,"Old Man's War (Old Man's War, #1)","Leviathan Wakes (The Expanse, #1)",Ancillary Justice (Imperial Radch #1),"The Fifth Season (The Broken Earth, #1)",The Martian,"The Long Way to a Small, Angry Planet (Wayfarers, #1)",Station Eleven,Armada,"Annihilation (Southern Reach, #1)",Ready Player One,"Ender's Game (Ender's Saga, #1)","The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)","Storm Front (The Dresden Files, #1)"
Lock and Key,Lock and Key,Just Listen,Along for the Ride,This Lullaby,The Truth About Forever,What Happened to Goodbye,That Summer,Someone Like You,Dreamland,Saint Anything,"Lola and the Boy Next Door (Anna and the French Kiss, #2)","Anna and the French Kiss (Anna and the French Kiss, #1)","The Summer I Turned Pretty (Summer, #1)",Second Chance Summer,"A Great and Terrible Beauty (Gemma Doyle, #1)"
"Locke & Key, Vol. 1: Welcome to Lovecraft","Locke & Key, Vol. 1: Welcome to Lovecraft","Locke & Key, Vol. 2: Head Games","Saga, Vol. 3 (Saga, #3)","Saga, Vol. 2 (Saga, #2)","Saga, Vol. 1 (Saga, #1)","Chew, Vol. 1: Taster's Choice","Saga, Vol. 4 (Saga, #4)","Saga, Vol. 5 (Saga, #5)","Y: The Last Man, Vol. 1: Unmanned","Rat Queens, Vol. 1: Sass & Sorcery",Preludes & Nocturnes (The Sandman #1),"The Walking Dead, Vol. 01: Days Gone Bye",Through the Woods,The Ocean at the End of the Lane,Watchmen
"Locke & Key, Vol. 2: Head Games","Locke & Key, Vol. 2: Head Games","Locke & Key, Vol. 1: Welcome to Lovecraft","Saga, Vol. 3 (Saga, #3)","Saga, Vol. 5 (Saga, #5)","Saga, Vol. 2 (Saga, #2)","Saga, Vol. 4 (Saga, #4)","Saga, Vol. 1 (Saga, #1)","Chew, Vol. 1: Taster's Choice","Rat Queens, Vol. 2: The Far Reaching Tentacles of N'rygoth","Rat Queens, Vol. 1: Sass & Sorcery","Saga, Vol. 6 (Saga, #6)","Sex Criminals, Vol. 1: One Weird Trick",Preludes & Nocturnes (The Sandman #1),The Doll's House (The Sandman #2),"Y: The Last Man, Vol. 1: Unmanned"
"Lola and the Boy Next Door (Anna and the French Kiss, #2)","Lola and the Boy Next Door (Anna and the French Kiss, #2)","Isla and the Happily Ever After (Anna and the French Kiss, #3)","Anna and the French Kiss (Anna and the French Kiss, #1)","To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)",Fangirl,"Shatter Me (Shatter Me, #1)",The Statistical Probability of Love at First Sight,My Life Next Door,"Unravel Me (Shatter Me, #2)","If I Stay (If I Stay, #1)",Since You've Been Gone,"Scarlet (The Lunar Chronicles, #2)","P.S. I Still Love You (To All the Boys I've Loved Before, #2)","The Unbecoming of Mara Dyer (Mara Dyer, #1)","Throne of Glass (Throne of Glass, #1)"
Lolita,Lolita,The Catcher in the Rye,The Great Gatsby,The Bell Jar,The Picture of Dorian Gray,Brave New World,Slaughterhouse-Five,1984,One Hundred Years of Solitude,Lord of the Flies,The Handmaid's Tale,Fahrenheit 451,To Kill a Mockingbird,Animal Farm,Frankenstein
Looking for Alaska,Looking for Alaska,Paper Towns,The Fault in Our Stars,An Abundance of Katherines,The Perks of Being a Wallflower,"Divergent (Divergent, #1)",Eleanor & Park,"The Hunger Games (The Hunger Games, #1)",Fangirl,"Will Grayson, Will Grayson","Mockingjay (The Hunger Games, #3)","Catching Fire (The Hunger Games, #2)",We Were Liars,Thirteen Reasons Why,"Insurgent (Divergent, #2)"
"Lord of Misrule (The Morganville Vampires, #5)","Lord of Misrule (The Morganville Vampires, #5)","Feast of Fools (The Morganville Vampires, #4)","Carpe Corpus (The Morganville Vampires, #6)","Midnight Alley (The Morganville Vampires, #3)","The Dead Girls' Dance (The Morganville Vampires, #2)","Glass Houses (The Morganville Vampires, #1)","Blood Promise (Vampire Academy, #4)","Last Sacrifice (Vampire Academy, #6)","Blue Bloods (Blue Bloods, #1)","Untamed (House of Night, #4)","Frostbite (Vampire Academy, #2)","Marked (House of Night, #1)","My Soul to Take (Soul Screamers, #1)","Shadow Kiss (Vampire Academy, #3)","Spirit Bound (Vampire Academy, #5)"
"Lord of Scoundrels (Scoundrels, #3)","Lord of Scoundrels (Scoundrels, #3)","Devil in Winter (Wallflowers, #3)","Married By Morning (The Hathaways, #4)","Mine Till Midnight (The Hathaways, #1)","Nine Rules to Break When Romancing a Rake (Love By Numbers, #1)","Secrets of a Summer Night (Wallflowers, #1)","It Happened One Autumn (Wallflowers, #2)","Tempt Me at Twilight (The Hathaways, #3)","Scandal in Spring (Wallflowers, #4)","The Viscount Who Loved Me (Bridgertons, #2)","The Madness of Lord Ian Mackenzie (Mackenzies & McBrides, #1)","Romancing Mister Bridgerton (Bridgertons, #4)","Seduce Me at Sunrise (The Hathaways, #2)","The Duke and I (Bridgertons, #1)","Love in the Afternoon (The Hathaways, #5)"
"Lord of Shadows (The Dark Artifices, #2)","Lord of Shadows (The Dark Artifices, #2)","Lady Midnight (The Dark Artifices, #1)","City of Heavenly Fire (The Mortal Instruments, #6)","Clockwork Princess (The Infernal Devices, #3)","City of Lost Souls (The Mortal Instruments, #5)","Clockwork Prince (The Infernal Devices, #2)","City of Fallen Angels (The Mortal Instruments, #4)",Tales from the Shadowhunter Academy,"Clockwork Angel (The Infernal Devices, #1)","Welcome to Shadowhunter Academy (Tales from the Shadowhunter Academy, #1)","City of Glass (The Mortal Instruments, #3)","The Lost Herondale (Tales from the Shadowhunter Academy, #2)","City of Ashes (The Mortal Instruments, #2)",The Bane Chronicles,"Queen of Shadows (Throne of Glass, #4)"
Lord of the Flies,Lord of the Flies,Of Mice and Men,The Catcher in the Rye,To Kill a Mockingbird,Animal Farm,The Great Gatsby,1984,Romeo and Juliet,Fahrenheit 451,The Adventures of Huckleberry Finn,Brave New World,The Hobbit,The Handmaid's Tale,The Diary of a Young Girl,Slaughterhouse-Five
"Losing Hope (Hopeless, #2)","Losing Hope (Hopeless, #2)","Finding Cinderella (Hopeless, #2.5)","Hopeless (Hopeless, #1)","This Girl (Slammed, #3)","Point of Retreat (Slammed, #2)","Slammed (Slammed, #1)","Maybe Someday (Maybe, #1)","Maybe Not (Maybe, #1.5)",Ugly Love,"The Edge of Never (The Edge of Never, #1)",Confess,"Fallen Too Far (Rosemary Beach, #1; Too Far, #1)","Easy (Contours of the Heart, #1)","Wait for You (Wait for You, #1)",November 9
"Losing It (Losing It, #1)","Losing It (Losing It, #1)","Faking It (Losing It, #2)","Easy (Contours of the Heart, #1)","Wait for You (Wait for You, #1)","Hopeless (Hopeless, #1)","Beautiful Disaster (Beautiful, #1)","Point of Retreat (Slammed, #2)","Slammed (Slammed, #1)","On Dublin Street (On Dublin Street, #1)","Fallen Too Far (Rosemary Beach, #1; Too Far, #1)","Pushing the Limits (Pushing the Limits, #1)","Rule (Marked Men, #1)","Walking Disaster (Beautiful, #2)","The Edge of Never (The Edge of Never, #1)","Wallbanger (Cocktail, #1)"
"Lost in a Good Book (Thursday Next, #2)","Lost in a Good Book (Thursday Next, #2)","The Eyre Affair (Thursday Next, #1)",Jonathan Strange & Mr Norrell,"The Sweetness at the Bottom of the Pie (Flavia de Luce, #1)","The Weed That Strings the Hangman's Bag (Flavia de Luce, #2)","Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Neverwhere,The Guernsey Literary and Potato Peel Pie Society,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)","The No. 1 Ladies' Detective Agency  (No. 1 Ladies' Detective Agency, #1)",Stardust,The Graveyard Book,"Soulless (Parasol Protectorate, #1)",Persuasion,The Handmaid's Tale
Love Letters to the Dead,Love Letters to the Dead,This Song Will Save Your Life,Since You've Been Gone,We Were Liars,"If I Stay (If I Stay, #1)","Anna and the French Kiss (Anna and the French Kiss, #1)",Fangirl,"Lola and the Boy Next Door (Anna and the French Kiss, #2)",My Life Next Door,"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)",Looking for Alaska,The Sky Is Everywhere,Second Chance Summer,"Isla and the Happily Ever After (Anna and the French Kiss, #3)","Everything, Everything"
Love Story,Love Story,"Perfect Chemistry (Perfect Chemistry, #1)","Rules of Attraction (Perfect Chemistry, #2)","Chain Reaction (Perfect Chemistry, #3)",Catching Jordan,"Dare You To (Pushing the Limits, #2)","Pushing the Limits (Pushing the Limits, #1)","Easy (Contours of the Heart, #1)","Losing It (Losing It, #1)","Faking It (Losing It, #2)","The Vincent Boys (The Vincent Boys, #1)","All Lined Up (Rusk University, #1)","Slammed (Slammed, #1)",My Life Next Door,The Statistical Probability of Love at First Sight
"Love Unscripted (Love, #1)","Love Unscripted (Love, #1)","Effortless (Thoughtless, #2)","Thoughtless (Thoughtless, #1)","Reckless (Thoughtless, #3)","The Mighty Storm (The Storm, #1)","Gabriel's Inferno (Gabriel's Inferno, #1)","Naked (The Blackstone Affair, #1)","Mile High (Up in the Air, #2)","Reason to Breathe (Breathing, #1)","In Flight (Up in the Air, #1)","Barely Breathing (Breathing, #2)","Grounded (Up in the Air, #3)","Gabriel's Rapture (Gabriel's Inferno, #2)","All In (The Blackstone Affair, #2)","On Dublin Street (On Dublin Street, #1)"
Love You Forever,Love You Forever,Goodnight Moon,If You Give a Mouse a Cookie,Green Eggs and Ham,"One Fish, Two Fish, Red Fish, Blue Fish","Alexander and the Terrible, Horrible, No Good, Very Bad Day",Very Hungry Caterpillar Board Book,The Cat in the Hat,How the Grinch Stole Christmas!,Corduroy,The Lorax,"Oh, The Places You'll Go!",The Giving Tree,Are You My Mother?,Where the Wild Things Are
"Love in the Afternoon (The Hathaways, #5)","Love in the Afternoon (The Hathaways, #5)","Married By Morning (The Hathaways, #4)","Tempt Me at Twilight (The Hathaways, #3)","Seduce Me at Sunrise (The Hathaways, #2)","Mine Till Midnight (The Hathaways, #1)","Scandal in Spring (Wallflowers, #4)","It Happened One Autumn (Wallflowers, #2)","Devil in Winter (Wallflowers, #3)","Secrets of a Summer Night (Wallflowers, #1)","The Viscount Who Loved Me (Bridgertons, #2)","Romancing Mister Bridgerton (Bridgertons, #4)","An Offer From a Gentleman (Bridgertons, #3)","The Duke and I (Bridgertons, #1)","Blue-Eyed Devil (Travises, #2)","Nine Rules to Break When Romancing a Rake (Love By Numbers, #1)"
Love in the Time of Cholera,Love in the Time of Cholera,One Hundred Years of Solitude,The Unbearable Lightness of Being,Beloved,Lolita,Mrs. Dalloway,Brave New World,The Bell Jar,Atonement,To the Lighthouse,The Remains of the Day,The Brothers Karamazov,Wuthering Heights,The Age of Innocence,Crime and Punishment
"Love, Rosie","Love, Rosie",P.S. I Love You,Fangirl,"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)","Anna and the French Kiss (Anna and the French Kiss, #1)","Me Before You (Me Before You, #1)",Paper Towns,The Fault in Our Stars,Attachments,Eleanor & Park,"If I Stay (If I Stay, #1)","City of Ashes (The Mortal Instruments, #2)","Lola and the Boy Next Door (Anna and the French Kiss, #2)",The Perks of Being a Wallflower,"City of Bones (The Mortal Instruments, #1)"
"Lover Avenged (Black Dagger Brotherhood, #7)","Lover Avenged (Black Dagger Brotherhood, #7)","Lover Mine (Black Dagger Brotherhood, #8)","Lover Enshrined (Black Dagger Brotherhood, #6)","Lover Unbound (Black Dagger Brotherhood, #5)","Lover Unleashed (Black Dagger Brotherhood, #9)","Lover Revealed (Black Dagger Brotherhood, #4)","Lover Awakened (Black Dagger Brotherhood, #3)","Lover Eternal (Black Dagger Brotherhood, #2)","Lover Reborn (Black Dagger Brotherhood, #10)","Lover at Last (Black Dagger Brotherhood, #11)","Dark Lover (Black Dagger Brotherhood, #1)","Father Mine (Black Dagger Brotherhood, #6.5)","Covet (Fallen Angels, #1)","The Shadows (Black Dagger Brotherhood, #13)","Kiss of Midnight (Midnight Breed,  #1)"
"Lover Awakened (Black Dagger Brotherhood, #3)","Lover Awakened (Black Dagger Brotherhood, #3)","Lover Eternal (Black Dagger Brotherhood, #2)","Lover Revealed (Black Dagger Brotherhood, #4)","Lover Unbound (Black Dagger Brotherhood, #5)","Dark Lover (Black Dagger Brotherhood, #1)","Lover Enshrined (Black Dagger Brotherhood, #6)","Lover Avenged (Black Dagger Brotherhood, #7)","Lover Mine (Black Dagger Brotherhood, #8)","Lover Unleashed (Black Dagger Brotherhood, #9)","Lover Reborn (Black Dagger Brotherhood, #10)","Lover at Last (Black Dagger Brotherhood, #11)","Father Mine (Black Dagger Brotherhood, #6.5)","Halfway to the Grave (Night Huntress, #1)","One Foot in the Grave (Night Huntress, #2)","Covet (Fallen Angels, #1)"
"Lover Enshrined (Black Dagger Brotherhood, #6)","Lover Enshrined (Black Dagger Brotherhood, #6)","Lover Unbound (Black Dagger Brotherhood, #5)","Lover Avenged (Black Dagger Brotherhood, #7)","Lover Revealed (Black Dagger Brotherhood, #4)","Lover Mine (Black Dagger Brotherhood, #8)","Lover Awakened (Black Dagger Brotherhood, #3)","Lover Unleashed (Black Dagger Brotherhood, #9)","Lover Eternal (Black Dagger Brotherhood, #2)","Lover Reborn (Black Dagger Brotherhood, #10)","Dark Lover (Black Dagger Brotherhood, #1)","Lover at Last (Black Dagger Brotherhood, #11)","Father Mine (Black Dagger Brotherhood, #6.5)","Covet (Fallen Angels, #1)","The Shadows (Black Dagger Brotherhood, #13)","One Foot in the Grave (Night Huntress, #2)"
"Lover Eternal (Black Dagger Brotherhood, #2)","Lover Eternal (Black Dagger Brotherhood, #2)","Lover Awakened (Black Dagger Brotherhood, #3)","Lover Revealed (Black Dagger Brotherhood, #4)","Dark Lover (Black Dagger Brotherhood, #1)","Lover Unbound (Black Dagger Brotherhood, #5)","Lover Enshrined (Black Dagger Brotherhood, #6)","Lover Avenged (Black Dagger Brotherhood, #7)","Lover Mine (Black Dagger Brotherhood, #8)","Lover Unleashed (Black Dagger Brotherhood, #9)","Lover Reborn (Black Dagger Brotherhood, #10)","Lover at Last (Black Dagger Brotherhood, #11)","Father Mine (Black Dagger Brotherhood, #6.5)","Covet (Fallen Angels, #1)","Halfway to the Grave (Night Huntress, #1)","One Foot in the Grave (Night Huntress, #2)"
"Lover Mine (Black Dagger Brotherhood, #8)","Lover Mine (Black Dagger Brotherhood, #8)","Lover Avenged (Black Dagger Brotherhood, #7)","Lover Unleashed (Black Dagger Brotherhood, #9)","Lover Enshrined (Black Dagger Brotherhood, #6)","Lover Unbound (Black Dagger Brotherhood, #5)","Lover Revealed (Black Dagger Brotherhood, #4)","Lover Reborn (Black Dagger Brotherhood, #10)","Lover Awakened (Black Dagger Brotherhood, #3)","Lover Eternal (Black Dagger Brotherhood, #2)","Lover at Last (Black Dagger Brotherhood, #11)","Dark Lover (Black Dagger Brotherhood, #1)","Father Mine (Black Dagger Brotherhood, #6.5)","Covet (Fallen Angels, #1)","The Shadows (Black Dagger Brotherhood, #13)","The Beast (Black Dagger Brotherhood, #14)"
"Lover Reborn (Black Dagger Brotherhood, #10)","Lover Reborn (Black Dagger Brotherhood, #10)","Lover Unleashed (Black Dagger Brotherhood, #9)","Lover at Last (Black Dagger Brotherhood, #11)","Lover Mine (Black Dagger Brotherhood, #8)","Lover Avenged (Black Dagger Brotherhood, #7)","Lover Enshrined (Black Dagger Brotherhood, #6)","Lover Unbound (Black Dagger Brotherhood, #5)","Lover Revealed (Black Dagger Brotherhood, #4)","Lover Awakened (Black Dagger Brotherhood, #3)","Lover Eternal (Black Dagger Brotherhood, #2)","The Shadows (Black Dagger Brotherhood, #13)","Dark Lover (Black Dagger Brotherhood, #1)","Father Mine (Black Dagger Brotherhood, #6.5)","The Beast (Black Dagger Brotherhood, #14)","Covet (Fallen Angels, #1)"
"Lover Revealed (Black Dagger Brotherhood, #4)","Lover Revealed (Black Dagger Brotherhood, #4)","Lover Unbound (Black Dagger Brotherhood, #5)","Lover Awakened (Black Dagger Brotherhood, #3)","Lover Eternal (Black Dagger Brotherhood, #2)","Lover Enshrined (Black Dagger Brotherhood, #6)","Lover Avenged (Black Dagger Brotherhood, #7)","Dark Lover (Black Dagger Brotherhood, #1)","Lover Mine (Black Dagger Brotherhood, #8)","Lover Unleashed (Black Dagger Brotherhood, #9)","Lover Reborn (Black Dagger Brotherhood, #10)","Lover at Last (Black Dagger Brotherhood, #11)","Father Mine (Black Dagger Brotherhood, #6.5)","Covet (Fallen Angels, #1)","The Shadows (Black Dagger Brotherhood, #13)","One Foot in the Grave (Night Huntress, #2)"
"Lover Unbound (Black Dagger Brotherhood, #5)","Lover Unbound (Black Dagger Brotherhood, #5)","Lover Revealed (Black Dagger Brotherhood, #4)","Lover Enshrined (Black Dagger Brotherhood, #6)","Lover Awakened (Black Dagger Brotherhood, #3)","Lover Avenged (Black Dagger Brotherhood, #7)","Lover Eternal (Black Dagger Brotherhood, #2)","Lover Mine (Black Dagger Brotherhood, #8)","Lover Unleashed (Black Dagger Brotherhood, #9)","Dark Lover (Black Dagger Brotherhood, #1)","Lover Reborn (Black Dagger Brotherhood, #10)","Lover at Last (Black Dagger Brotherhood, #11)","Father Mine (Black Dagger Brotherhood, #6.5)","Covet (Fallen Angels, #1)","The Shadows (Black Dagger Brotherhood, #13)","Halfway to the Grave (Night Huntress, #1)"
"Lover Unleashed (Black Dagger Brotherhood, #9)","Lover Unleashed (Black Dagger Brotherhood, #9)","Lover Mine (Black Dagger Brotherhood, #8)","Lover Reborn (Black Dagger Brotherhood, #10)","Lover Avenged (Black Dagger Brotherhood, #7)","Lover Enshrined (Black Dagger Brotherhood, #6)","Lover Unbound (Black Dagger Brotherhood, #5)","Lover Revealed (Black Dagger Brotherhood, #4)","Lover at Last (Black Dagger Brotherhood, #11)","Lover Awakened (Black Dagger Brotherhood, #3)","Lover Eternal (Black Dagger Brotherhood, #2)","Dark Lover (Black Dagger Brotherhood, #1)","Father Mine (Black Dagger Brotherhood, #6.5)","The Shadows (Black Dagger Brotherhood, #13)","Covet (Fallen Angels, #1)","The Beast (Black Dagger Brotherhood, #14)"
"Lover at Last (Black Dagger Brotherhood, #11)","Lover at Last (Black Dagger Brotherhood, #11)","Lover Reborn (Black Dagger Brotherhood, #10)","Lover Unleashed (Black Dagger Brotherhood, #9)","Lover Mine (Black Dagger Brotherhood, #8)","Lover Avenged (Black Dagger Brotherhood, #7)","Lover Enshrined (Black Dagger Brotherhood, #6)","Lover Unbound (Black Dagger Brotherhood, #5)","Lover Revealed (Black Dagger Brotherhood, #4)","Lover Awakened (Black Dagger Brotherhood, #3)","The Shadows (Black Dagger Brotherhood, #13)","Lover Eternal (Black Dagger Brotherhood, #2)","Dark Lover (Black Dagger Brotherhood, #1)","The Beast (Black Dagger Brotherhood, #14)","Father Mine (Black Dagger Brotherhood, #6.5)","Blood Kiss (Black Dagger Legacy, #1)"
